lp.last_stop.arrival_time,lp.last_stop.departure_time,lp.last_stop.id,lp.last_stop.sequence,lp.next_stop.arrival_time,lp.next_stop.departure_time,lp.next_stop.id,lp.next_stop.sequence,lp.delay.actual,lp.delay.last_stop_arrival,lp.delay.last_stop_departure,lp.bearing,lp.is_canceled,lp.origin_timestamp,lp.shape_dist_traveled,lp.speed,lp.state_position,lp.tracking,pr.gtfs.route_id,pr.gtfs.route_short_name,pr.gtfs.route_type,pr.gtfs.trip_headsign,pr.gtfs.trip_id,pr.gtfs.trip_short_name,pr.vehicle_type.description_cs,pr.vehicle_type.description_en,pr.vehicle_type.id,pr.cis.line_id,pr.cis.trip_number,pr.agency_name,pr.origin_route_name,pr.sequence_id,pr.start_timestamp,pr.vehicle_registration_number,pr.wheelchair_accessible,pr.air_conditioned,coordinates
2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U249Z1P,3,2023-01-27T15:29:00+01:00,2023-01-27T15:29:00+01:00,U514Z1P,4,23,-7,,203,,2023-01-27T15:27:53+01:00,0.407,,at_stop,True,L3,3,0,Sídliště Modřany,3_5380_230123,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",3,14,2023-01-27T15:26:00+01:00,9342,True,,['14.45605' '50.1232']
2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U480Z3P,21,2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U142Z2P,22,98,69,120,78,,2023-01-27T15:27:50+01:00,10.816,,on_track,True,L26,26,0,Nádraží Hostivař,26_6862_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",26,15,2023-01-27T14:55:00+01:00,8268,True,,['14.43273' '50.08584']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U324Z2P,22,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U262Z2P,23,57,19,57,264,,2023-01-27T15:27:57+01:00,9.669,,on_track,True,L25,25,0,Bílá Hora,25_4648_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",25,2,2023-01-27T14:59:00+01:00,9423,True,,['14.42312' '50.1']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U350Z1P,3,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U321Z3P,4,32,16,,176,,2023-01-27T15:27:16+01:00,0.859,,at_stop,True,L18,18,0,Vozovna Pankrác,18_4664_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",18,2,2023-01-27T15:25:00+01:00,8432,False,,['14.39496' '50.10412']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U598Z2P,33,2023-01-27T15:29:00+01:00,2023-01-27T15:29:00+01:00,U46Z2P,34,9,-7,,260,,2023-01-27T15:26:53+01:00,14.695,,at_stop,True,L22,22,0,Bílá Hora,22_9343_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",22,5,2023-01-27T14:40:00+01:00,8518,False,,['14.39935' '50.09346']
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U850Z1P,11,2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U191Z1P,12,99,99,,276,,2023-01-27T15:27:39+01:00,4.067,,at_stop,True,L13,13,0,Čechovo náměstí,13_1371_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",13,1,2023-01-27T15:12:00+01:00,8415,False,,['14.44318' '50.07698']
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U559Z2P,14,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U376Z2P,15,87,87,,159,,2023-01-27T15:27:27+01:00,5.596,,at_stop,True,L11,11,0,Spořilov,11_5233_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",11,9,2023-01-27T15:06:00+01:00,9235,True,,['14.44992' '50.05835']
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U518Z2P,25,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U118Z2P,26,30,30,,90,,2023-01-27T15:26:30+01:00,12.121,,at_stop,True,L10,10,0,Spojovací,10_6745_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",10,2,2023-01-27T14:51:00+01:00,9397,True,,['14.45814' '50.07547']
2023-01-27T15:23:00+01:00,2023-01-27T15:23:00+01:00,U71Z2P,34,2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U19Z2P,35,230,221,,185,,2023-01-27T15:26:41+01:00,15.732,,at_stop,True,L3,3,0,Sídliště Modřany,3_5322_221205,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",3,9,2023-01-27T14:36:00+01:00,9228,True,,['14.40371' '50.02359']
2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U605Z1P,9,2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U473Z1P,10,149,117,149,247,,2023-01-27T15:27:29+01:00,3.082,,on_track,True,L7,7,0,Radlická,7_8129_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",7,1,2023-01-27T15:17:00+01:00,9100,True,,['14.48568' '50.07146']
